Target: http://10.10.10.71:80/FUZZFUZ2Z
Total requests: 27684
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00224:  C=403     29 L	      92 W	   1233 Ch	  "_cache - .html"
00226:  C=403     29 L	      92 W	   1233 Ch	  "_cache - .bak"
00227:  C=403     29 L	      92 W	   1233 Ch	  "_cache - .old"
00228:  C=403     29 L	      92 W	   1233 Ch	  "_cache - .conf"
00230:  C=403     29 L	      92 W	   1233 Ch	  "_catalogs - .html"
00231:  C=403     29 L	      92 W	   1233 Ch	  "_catalogs - .txt"
00232:  C=403     29 L	      92 W	   1233 Ch	  "_catalogs - .bak"
00234:  C=403     29 L	      92 W	   1233 Ch	  "_catalogs - .conf"
00235:  C=403     29 L	      92 W	   1233 Ch	  "_code - .php"
00236:  C=403     29 L	      92 W	   1233 Ch	  "_code - .html"
00238:  C=403     29 L	      92 W	   1233 Ch	  "_code - .bak"
00239:  C=403     29 L	      92 W	   1233 Ch	  "_code - .old"
00240:  C=403     29 L	      92 W	   1233 Ch	  "_code - .conf"
00241:  C=403     29 L	      92 W	   1233 Ch	  "_common - .php"
00242:  C=403     29 L	      92 W	   1233 Ch	  "_common - .html"
00243:  C=403     29 L	      92 W	   1233 Ch	  "_common - .txt"
00244:  C=403     29 L	      92 W	   1233 Ch	  "_common - .bak"
00246:  C=403     29 L	      92 W	   1233 Ch	  "_common - .conf"
00247:  C=403     29 L	      92 W	   1233 Ch	  "_conf - .php"
00248:  C=403     29 L	      92 W	   1233 Ch	  "_conf - .html"
00249:  C=403     29 L	      92 W	   1233 Ch	  "_conf - .txt"
00250:  C=403     29 L	      92 W	   1233 Ch	  "_conf - .bak"
00251:  C=403     29 L	      92 W	   1233 Ch	  "_conf - .old"
00252:  C=403     29 L	      92 W	   1233 Ch	  "_conf - .conf"
00254:  C=403     29 L	      92 W	   1233 Ch	  "_config - .html"
00255:  C=403     29 L	      92 W	   1233 Ch	  "_config - .txt"
00256:  C=403     29 L	      92 W	   1233 Ch	  "_config - .bak"
00257:  C=403     29 L	      92 W	   1233 Ch	  "_config - .old"
00258:  C=403     29 L	      92 W	   1233 Ch	  "_config - .conf"
00260:  C=403     29 L	      92 W	   1233 Ch	  "_css - .html"
00261:  C=403     29 L	      92 W	   1233 Ch	  "_css - .txt"
00262:  C=403     29 L	      92 W	   1233 Ch	  "_css - .bak"
00263:  C=403     29 L	      92 W	   1233 Ch	  "_css - .old"
00264:  C=403     29 L	      92 W	   1233 Ch	  "_css - .conf"
00265:  C=403     29 L	      92 W	   1233 Ch	  "_data - .php"
00266:  C=403     29 L	      92 W	   1233 Ch	  "_data - .html"
00267:  C=403     29 L	      92 W	   1233 Ch	  "_data - .txt"
00269:  C=403     29 L	      92 W	   1233 Ch	  "_data - .old"
00175:  C=403     29 L	      92 W	   1233 Ch	  "_adm - .php"
00180:  C=403     29 L	      92 W	   1233 Ch	  "_adm - .conf"
00181:  C=403     29 L	      92 W	   1233 Ch	  "_admin - .php"
00182:  C=403     29 L	      92 W	   1233 Ch	  "_admin - .html"
00183:  C=403     29 L	      92 W	   1233 Ch	  "_admin - .txt"
00184:  C=403     29 L	      92 W	   1233 Ch	  "_admin - .bak"
00185:  C=403     29 L	      92 W	   1233 Ch	  "_admin - .old"
00186:  C=403     29 L	      92 W	   1233 Ch	  "_admin - .conf"
00187:  C=403     29 L	      92 W	   1233 Ch	  "_ajax - .php"
00188:  C=403     29 L	      92 W	   1233 Ch	  "_ajax - .html"
00189:  C=403     29 L	      92 W	   1233 Ch	  "_ajax - .txt"
00190:  C=403     29 L	      92 W	   1233 Ch	  "_ajax - .bak"
00191:  C=403     29 L	      92 W	   1233 Ch	  "_ajax - .old"
00192:  C=403     29 L	      92 W	   1233 Ch	  "_ajax - .conf"
00205:  C=403     29 L	      92 W	   1233 Ch	  "_backup - .php"
00213:  C=403     29 L	      92 W	   1233 Ch	  "_baks - .txt"
00221:  C=403     29 L	      92 W	   1233 Ch	  "_borders - .old"
